From,To,perfect_match_percent,threshold_pass_percent,failed_percent,total_success_rate,total_observations,successful_observations,failed_observations,total_routes,single_route_observations,multi_route_observations,expected_observations,missing_observations,data_coverage_percent,id
11307,11347,100,0,0,100,384,384,0,384,384,0,384,0,100,347
11307,1449,100,0,0,100,384,384,0,384,384,0,384,0,100,348
279,99,100,0,0,100,384,384,0,384,384,0,384,0,100,349
1131,1133,100,0,0,100,384,384,0,384,384,0,384,0,100,350
1131,2273,100,0,0,100,384,384,0,384,384,0,384,0,100,351
1131,30000,100,0,0,100,384,384,0,384,384,0,384,0,100,352
1133,1131,100,0,0,100,384,384,0,384,384,0,384,0,100,353
1133,1135,100,0,0,100,384,384,0,384,384,0,384,0,100,354
11347,11307,100,0,0,100,384,384,0,387,381,3,384,0,100,355
11347,1461,100,0,0,100,384,384,0,384,384,0,384,0,100,356
11348,11289,100,0,0,100,384,384,0,386,382,2,384,0,100,357
11348,1487,100,0,0,100,384,384,0,384,384,0,384,0,100,358
11355,513,100,0,0,100,384,384,0,384,384,0,384,0,100,359
11356,10163,100,0,0,100,384,384,0,384,384,0,384,0,100,360
11356,10407,100,0,0,100,384,384,0,384,384,0,384,0,100,361
1137,1139,100,0,0,100,384,384,0,384,384,0,384,0,100,362
11348,4216,100,0,0,100,384,384,0,384,384,0,384,0,100,363
11349,11205,100,0,0,100,384,384,0,384,384,0,384,0,100,364
11349,1487,100,0,0,100,384,384,0,420,356,28,384,0,100,365
1135,1133,94.5312,5.46875,0,100,384,384,0,384,384,0,384,0,100,366
1135,1137,100,0,0,100,384,384,0,384,384,0,384,0,100,367
11350,1593,100,0,0,100,384,384,0,384,384,0,384,0,100,368
11351,1601,100,0,0,100,384,384,0,384,384,0,384,0,100,369
11365,10265,100,0,0,100,384,384,0,384,384,0,384,0,100,370
11365,3938,100,0,0,100,384,384,0,384,384,0,384,0,100,371
1137,1135,100,0,0,100,384,384,0,384,384,0,384,0,100,372
11352,1635,100,0,0,100,384,384,0,384,384,0,384,0,100,373
11352,1643,100,0,0,100,384,384,0,384,384,0,384,0,100,374
11353,1713,100,0,0,100,384,384,0,384,384,0,384,0,100,375
11353,1721,100,0,0,100,384,384,0,385,383,1,384,0,100,376
11354,1721,100,0,0,100,384,384,0,384,384,0,384,0,100,377
11354,1723,100,0,0,100,384,384,0,384,384,0,384,0,100,378
11355,1823,100,0,0,100,384,384,0,384,384,0,384,0,100,379
3403,11983,100,0,0,100,384,384,0,384,384,0,384,0,100,380
11373,9060,100,0,0,100,384,384,0,384,384,0,384,0,100,381
11375,10611,100,0,0,100,384,384,0,384,384,0,384,0,100,382
11375,7258,100,0,0,100,384,384,0,384,384,0,384,0,100,383
11378,1911,100,0,0,100,384,384,0,384,384,0,384,0,100,384
11378,7197,100,0,0,100,384,384,0,384,384,0,384,0,100,385
11379,12245,100,0,0,100,384,384,0,631,214,170,384,0,100,386
11379,2141,100,0,0,100,384,384,0,384,384,0,384,0,100,387
11380,10918,100,0,0,100,384,384,0,384,384,0,384,0,100,388
1139,1137,100,0,0,100,384,384,0,384,384,0,384,0,100,389
11422,11773,100,0,0,100,384,384,0,384,384,0,384,0,100,390
11423,11773,100,0,0,100,384,384,0,384,384,0,384,0,100,391
11380,9913,100,0,0,100,384,384,0,384,384,0,384,0,100,392
11382,11383,100,0,0,100,384,384,0,384,384,0,384,0,100,393
11382,4189,100,0,0,100,384,384,0,384,384,0,384,0,100,394
11383,11382,100,0,0,100,384,384,0,387,381,3,384,0,100,395
