kid,Id,code_a,dir_a,azi_a,code_b,dir_b,azi_b,code_start,dir_start,code_end,dir_end,travel_mode,azi_a_raw,azi_b_raw,azi_a_sw,azi_b_sw,azi_a_pl,azi_b_pl,axis_fix,geometry_wkt
482,482-15,5,S,192.72600146094726,1,N,12.723693901923241,1,N,5,S,1-5,192.72600146094726,12.723693901923241,251.95009871841575,71.94094959959381,194.98305520995626,14.98305520995627,0,"LINESTRING (35.1817 32.89297, 35.17745 32.87709)"
479,479-48,8,NW,325.9371551060176,4,SE,145.92894716977543,4,SE,8,NW,4-8,325.9371551060176,145.92894716977543,134.3062960897803,314.317154903369,321.28463311747413,141.28463311747413,0,"LINESTRING (35.18176 32.89315, 35.16665 32.912)"
2272,2272-73,3,E,69.58995304333536,7,W,249.59064632854546,7,W,3,E,7-3,69.58995304333536,249.59064632854546,14.731467792894648,194.73170660515345,72.3498757799935,252.3498757799935,0,"LINESTRING (34.65204 31.68258, 34.65336 31.683)"
2281,2281-37,7,W,259.84907075027513,3,E,79.82690352648173,3,E,7,W,3-7,259.84907075027513,79.82690352648173,187.22275032483338,7.219073522950566,261.2854607364357,81.2854607364357,0,"LINESTRING (34.6518 31.6826, 34.60959 31.67613)"
647,647-84,4,SE,124.33960266403128,8,NW,304.35538570567667,8,NW,4,SE,8-4,124.33960266403128,304.35538570567667,334.49543225491703,154.48567590553057,120.08777790158972,300.08777790158973,0,"LINESTRING (34.91393 32.46478, 34.94334 32.44774)"
2194,2194-37,7,W,287.83336337359844,3,E,107.83271386235657,3,E,7,W,3-7,287.83336337359844,107.83271386235657,167.33836677091472,347.338555642889,285.2551187032855,105.25511870328553,0,"LINESTRING (34.91412 32.46496, 34.91291 32.46529)"
1235,1235-62,2,NE,32.4273354297106,6,SW,212.42859031039097,6,SW,2,NE,6-2,32.4273354297106,212.42859031039097,47.72850719478488,227.73034434058687,36.696537268705285,216.69653726870527,0,"LINESTRING (35.28907 31.96911, 35.29144 31.97229)"
2268,2268-73,3,E,109.24545528327725,7,W,289.24760855979497,7,W,3,E,7-3,109.24545528327725,289.24760855979497,346.24127693895434,166.24057383168793,106.60923747307814,286.6092374730781,0,"LINESTRING (35.1899 31.7681, 35.19399 31.76688)"
2255,2255-48,8,NW,323.7378455511602,4,SE,143.73269043883445,4,SE,8,NW,4-8,323.7378455511602,143.73269043883445,136.28576628693145,316.29233518856574,319.3449414662118,139.34494146621182,0,"LINESTRING (35.18997 31.76824, 35.18018 31.77964)"
2255,2255-84,4,SE,142.88229151646885,8,NW,322.8876414435655,8,NW,4,SE,8-4,142.88229151646885,322.8876414435655,317.177988369005,137.1713791737293,138.46582997165999,318.46582997165996,0,"LINESTRING (35.17974 31.77957, 35.1899 31.7681)"
2237,2237-48,8,NW,313.5448818173887,4,SE,133.53478365207894,4,SE,8,NW,4-8,313.5448818173887,133.53478365207894,146.31236976866228,326.32133252908255,309.0657175429594,129.06571754295942,0,"LINESTRING (35.18018 31.77964, 35.16101 31.7952)"
2256,2256-37,7,W,280.2725573130309,3,E,100.26571284801848,3,E,7,W,3-7,280.2725573130309,100.26571284801848,172.75702725437696,352.758184578799,278.79587227916596,98.79587227916598,0,"LINESTRING (35.161 31.79541, 35.14801 31.79742)"
2237,2237-84,4,SE,133.45963948777197,8,NW,313.46945854145014,8,NW,4,SE,8-4,133.45963948777197,313.46945854145014,326.39054495584185,146.38185310340478,128.9918782775645,308.9918782775645,0,"LINESTRING (35.16043 31.79524, 35.17907 31.78015)"
2258,2258-73,3,E,85.15782773691276,7,W,265.16249072989774,7,W,3,E,7-3,85.15782773691276,265.16249072989774,3.398314131649466,183.39868272930048,85.86377671522446,265.86377671522445,0,"LINESTRING (35.16063 31.79537, 35.16948 31.79601)"
